nama_jobs,type,category,subcategory,client_user_id,register_date,order_date,status_invoice,paid_at,total_paid
Testing Kontes UAT,contest,Desain Grafis & Branding,Desain Lainnya,ik********nt,2024-07-13 07:20:00,2024-07-13 07:48:00,,2024-07-13 07:49:00,2998847
UAT Kontes 2,contest,Desain Grafis & Branding,Desain Logo,ik********nt,2024-07-13 07:20:00,2024-07-13 08:16:00,,2024-07-13 08:16:00,3442843
Desain Logo UKM Cepat dan Hemat,gigs,Desain Grafis & Branding,Desain Logo,ri*******mi,2024-07-13 08:24:00,2024-07-13 08:52:00,,2024-07-13 08:57:00,303300
Desain Logo UKM Cepat dan Hemat,gigs,Desain Grafis & Branding,Desain Logo,ri*******mi,2024-07-13 08:24:00,2024-07-13 08:58:00,,2024-07-13 08:58:00,505500
kontes logo hut kota jogja,contest,Desain Grafis & Branding,Desain Logo,ri*******mi,2024-07-13 08:24:00,2024-07-13 09:02:00,,2024-07-13 09:02:00,4265200
The Sigits,gigs_custom_offer,,,th*****ts,2020-09-08 17:25:00,2024-07-13 09:12:00,,2024-07-13 09:12:00,1011000003
Penulisan & Desain Profil Perusahaan,package,Desain Grafis & Branding,Desain Company Profile,ik********nt,2024-07-13 07:20:00,2024-07-13 09:20:00,,2024-07-13 09:20:00,1533013
Ikhsan Custom Jasa,gigs_custom_offer,,,ik********nt,2024-07-13 07:20:00,2024-07-13 09:58:00,,2024-07-13 09:58:00,101169
Review Google Maps (30-100 Review),package,Pemasaran & Periklanan,Review Google Maps,yu******18,2024-02-27 14:23:00,2024-07-13 10:34:00,,2024-07-13 10:35:00,613200
"Jasa desain sosial media dan banner untuk feed IG, FB ads dan E-commerce",gigs,Desain Grafis & Branding,Desain Feed Instagram,ra****97,2024-07-12 11:10:00,2024-07-13 10:36:00,,2024-07-13 10:36:00,101172
Jasa Desain Logo 1 Hari jadi,gigs,Desain Grafis & Branding,Desain Logo & Stationery,ro******od,2024-06-04 15:32:00,2024-07-13 11:38:00,,2024-07-13 11:38:00,101143
Jasa Subscriber Youtube PERMANET,gigs,Pemasaran & Periklanan,Subscribers YouTube,ya*****st,2024-07-13 10:20:00,2024-07-13 11:47:00,,2024-07-13 11:48:00,160749
Test INTERNAL konsultan ISO (edit),gigs,Konsultasi,Konsultan ISO,ro******od,2024-06-04 15:32:00,2024-07-13 11:52:00,,2024-07-13 11:52:00,10168
